Listagem de Operadores Radiofónicos e respetivos Serviços de Programas ativos a 01 de setembro de 2026,,,,,,,,,,,,,,,,,,,,,,,,,
NÚMERO DE REGISTO,DATA DE INSCRIÇÃO,DESIGNAÇÃO SOCIAL OPERADOR,MORADA OPERADOR,CÓDIGO POSTAL ,LOCALIDADE ,CONCELHO ,DISTRITO ,REGIÃO AUTÓNOMA PROP (DESIGNAÇÃO SOCIAL) (LIVROS DE REGISTOS),SERVIÇO DE PROGRAMAS DE RÁDIO,MORADA,CÓDIGO POSTAL,LOCALIDADE,CONCELHO,DISTRITO,REGIÃO AUTÓNOMA ESTUDIO,FREQUÊNCIA,CONTEÚDO (TIPO PROGRAMAÇÃO),ÁREA DE COBERTURA,DISTRITO DE LICENCIAMENTO,CONCELHO DE LICENCIAMENTO,RESPONSÁVEL PROGRAMAÇÃO,RESPONSÁVEL INFORMAÇÃO,NOME CANAL PROGRAMAS (PS),ENDEREÇO DE CORREIO ELETRÓNICO,DATA DE VALIDADE
423004,02-08-2000,"Radiodifusão Publicidade e Espectáculos, Lda.","R. da Alegria, 582, 8.º",4000-037,Porto,Porto,Porto,,Rádio Amália - Matosinhos,"R. da Alegria, 582 - 8,º",4000-037,Porto,Porto,Porto,,91,Temático - Musical,Local,Porto,Matosinhos,Maria Antonieta Lopes da Costa,Maria Antonieta Lopes da Costa,AMALIA,marta.montez@gmail.com,29-03-2039
423005,02-08-2000,"Rádio Onda Viva, SA","Rua Almirante Reis, 1285",4490-463,Póvoa de Varzim,Póvoa de Varzim,Porto,,Rádio Onda Viva,"Pç. dos Combatentes, 15",4490-439,Póvoa de Varzim,Póvoa de Varzim,Porto,,96.1,Generalista,Local,Porto,Póvoa de Varzim,José Júlio Ribas Gonçalves Gomes Alves,Júlio Alexandre Ferreira Ribas Alves,ONDAVIVA,radioondaviva@sapo.pt,08-05-2039
423006,02-08-2000,"RNL - Rádio Nova Loures, Lda.","R. Viriato, 25 - 3.º Esq.",1050-234,Lisboa,Lisboa,Lisboa,,Rádio Amália FM,"R. Viriato, 25 - 3º Esq.",1050-234,Lisboa,Lisboa,Lisboa,,92.0,Temático - Musical,Local,Lisboa,Loures,António Vieira,Antonieta Lopes da Costa,AMALIA,geral@amalia.fm,29-03-2039
423007,12-10-2000,"RPCS - Soure FM, Radiodifusão e Publicidade, Unipessoal, Lda.","Largo Conde Ferreira, s/n",3130-212,Soure,Soure,Coimbra,,Rádio Popular de Soure,Largo Conde Ferreira,3130-212,Soure,Soure,Coimbra,,104.4,Generalista,Local,Coimbra,Soure,Carolina Sofia Simões Rodrigues,Fernando Santos Dias,RPSOURE,geral@radiosoure.pt,29-03-2039
423010,14-11-2000,"Guadisom - Sociedade de Radiodifusão Guadiana, Lda.","Av. da República, 64 - 1º - Apartado 159",8900-233,Vila Real de Santo António,Vila Real de Santo António,Faro,,Rádio Guadiana,"Av. da República, 64",8900-233,Vila Real de Santo António,Vila Real de Santo António,Faro,,90.5,Generalista,Local,Faro,Vila Real de Santo António,José António Fernandes Mendes,Rúben Silva,GUADIANA,radioguadianavrsa@hotmail.com,11-06-2039
423011,23-11-2000,"Editave Multimédia, Lda","R. 8 de Dezembro, 214",4760-016,Vila Nova de Famalicão,Vila Nova de Famalicão,Braga,,Fama Rádio,"R. 8 de Dezembro, 214",4760-016 Vila Nova de Famalicão,Antas,Vila Nova de Famalicão,Braga,,105,Generalista,Local,Braga,Vila Nova de Famalicão,Arcindo Guimarães,José Ricardo dos Santos Barbosa,FAMA,admin@editave.pt,08-05-2039
423012,23-11-2000,"Rádio Lafões - Clube de Animação e Informação de Lafões, CRL","Largo Feira Nova, 15 - 1º Esq.",3660-437,São Pedro do Sul,São Pedro do Sul,Viseu,,Rádio Lafões,"Largo Feira Nova, 15 - 1º Esq.",3660-437,São Pedro do Sul,São Pedro do Sul,Viseu,,93,Generalista,Local,Viseu,São Pedro do Sul,Paulo Manuel Martins,Paulo Manuel Martins,RLAFOES,lafoesradio@gmail.com,29-03-2039
423013,23-11-2000,"Rádio Barca - Cooperativa de Informação de Ponte da Barca, CRL","R. do Emigrante, 14 Loja N, Edif. Afonso III",4980-648,Ponte da Barca,Ponte da Barca,Viana do Castelo,,Rádio Barca,"R. do Emigrante, 14 Loja N, Edif. Afonso III",4980-648,Ponte da Barca,Ponte da Barca,Viana do Castelo,,99.6,Generalista,Local,Viana do Castelo,Ponte da Barca,Paulo Jorge de Sousa Alves,Nuno Miguel Carreiras Franco Cardoso,,geral@barcafm.pt,29-03-2039
423014,23-11-2000,"Publicelos - Publicidade de Barcelos, Lda.","Centro Comercial Bolívar, Ljs. 45 a 49 (Ap. 129)",4750-180,Barcelos,Barcelos,Braga,,Rádio Local de Barcelos,"Centro Comercial Bolívar, Ljs. 45 a 49",4750-180,Barcelos,Barcelos,Braga,,91.9,Generalista,Local,Braga,Barcelos,Ricardo Luís Fernandes Loureiro,Ricardo Luís Fernandes Loureiro,BARCELOS,geral@radiobarcelos.com,08-05-2039
423015,23-11-2000,"Pajovir - Espectáculos, Marketing e Publicidade, Unipessoal, Lda","Rua da Rádio, Sítio do Troto",8135-030,Troto,Loulé,Faro,,Total FM,Sítio do Troto,8135-030,Troto,Loulé,Faro,,103.1,Generalista,Local,Faro,Loulé,Victor Manuel Pereira Gonçalves,Paula Cristina,TOTAL FM,vitorgoncalves@totalfm.pt,08-05-2039
423015,23-11-2000,"Pajovir - Espectáculos, Marketing e Publicidade, Unipessoal, Lda","Rua da Rádio, Sítio do Troto",8135-030,Troto,Loulé,Faro,,Vicentina FM,Sítio do Troto,8135-030,Troto,Loulé,Faro,,94.6,Generalista,Local,Faro,Vila do Bispo,Victor Manuel Pereira Gonçalves,Paula Cristina,VCENTINA,vitorgoncalves@totalfm.pt,29-03-2039
423016,15-12-2000,"Rádio Clube de Lamego, Lda.","Urbanização da Ortigosa, Bl. 6 - R/C",5100-076,Lamego,Lamego,Viseu,,Rádio Clube de Lamego,"Urbanização da Ortigosa, Bl. 6 - R/C - Ap. 110",5100-076,Lamego,Lamego,Viseu,,97,Generalista,Local,Viseu,Lamego,Júlio Cardoso Coelho,Júlio Cardoso Coelho,R C LAME,rclamego@mail.telepac.pt,21-05-2039
423017,05-01-2001,"RCC - Rádio Clube da Covilhã, CRL","Urb. da Alâmpada, Lt. 27 R/c, lojas A-D",6200-250,Covilhã,Covilhã,Castelo Branco,,RCC - Rádio Clube da Covilhã,"Urb. da Alâmpada, Lt. 27 R/c, lojas A-D",6200-250,Covilhã,Covilhã,Castelo Branco,,95.6,Generalista,Local,Castelo Branco,Covilhã,João Manuel Flores Casteleiro Alves,Maria Virgínia Pina Almeida,RCOVILHA,geral@radio-covilha.pt,05-03-2039
423018,17-01-2001,"RCB - Rádio Cova da Beira, CRL",R. Dr. Alfredo Mendes Gil - Casa Gascão,6230-287,Fundão,Fundão,Castelo Branco,,Radio Cova da Beira,Av. Dr. Alfredo Mendes Gil - Casa Gascão,6230-287,Fundão,Fundão,Castelo Branco,,92.5,Generalista,Local,Castelo Branco,Fundão,Luis Miguel Fonseca do Nascimento,Paulo Manuel Rocha Pinheiro,RCB,presidente@rcb-radiocovadabeira.pt,21-05-2039
423019,17-01-2001,"Cooperativa de Informação e Cultura de Macedo Cavaleiros-Rádio Onda Livre Macedense, CRL",R. Antero Quental,5340-232,Macedo de Cavaleiros,Macedo de Cavaleiros,Bragança,,Rádio Onda Livre Macedense,Rua Antero Quental,5340-232,Macedo de Cavaleiros,Macedo de Cavaleiros,Bragança,,87.7,Generalista,Local,Bragança,Macedo de Cavaleiros,Rui Manuel Magalhães Costa,Cátia Barreira,,direcao@ondalivrefm.net,05-03-2039
423021,05-02-2001,"Rádio Clube de Arganil - Cooperativa de Rádio, CRL",Av. das Forças Armadas - Casa Municipal da  Cultura,3300-011,Arganil,Arganil,Coimbra,,Rádio Clube de Arganil,Av. das Forças Armadas - Casa Municipal da Cultura,3300-011,Arganil,Arganil,Coimbra,,88.5,Generalista,Local,Coimbra,Arganil,Jorge Manuel de Matos Silva,Maria de Lurdes Ferreira Gonçalves,ARGANIL,geral@rcarganil.pt,05-03-2039
423022,28-02-2001,NAIAA - Núcleo Amador de Investigação Arqueológica de Afife,"Caminho do Cruzeiro, 87",4900-012,Afife,Viana do Castelo,Viana do Castelo,,Rádio Popular Afifense,"Caminho do Cruzeiro, 87",4900-012,Afife,Viana do Castelo,Viana do Castelo,,87.6,Generalista,Local,Viana do Castelo,Viana do Castelo,Filipe Costa,José Carlos Silva,AFIFENSE,radio.afifense@sapo.pt,08-05-2039
423023,28-02-2001,"Radio Festival do Norte, SA","Rua Eng.º Ferreira Dias, 181, Fração B",4100-247,Porto,Porto,Porto,,CM Rádio 94.8,"Rua Eng.º Ferreira Dias,181, Fração B",4100-247,Porto,Porto,Porto,,94.8,Temático - Informativo,Local,Porto,Porto,Carlos Filipe Espinho Rodrigues,Carlos Filipe Espinho Rodrigues,CM RADIO,plataforma@medialivre.pt,05-03-2039
423024,28-02-2001,"Rádio Portalegre - Cooperativa de Rádio, Recreio e Animação, CRL","Av. Santo António - Edifício Régio Um, Atelier B",7300-074,Portalegre,Portalegre,Portalegre,,Radio Portalegre,Av.de Santo António -  Edificio Régio 1 - Atelier  B,7300-074,Portalegre,Portalegre,Portalegre,,100.5,Generalista,Local,Portalegre,Portalegre,César Hugo Grilo Azeitona,Carla Alexandra Silva Aguiã,PORTLGRE,comercial@radioportalegre.pt,21-05-2039
423025,28-02-2001,"RFA - Rádio Foz do Ave, Lda","Av. Visconde de Barreiros, 89 - 5º.",4470-151,Maia,Maia,Porto,,Observador 98.4,"Av. Visconde de Barreiros, 89 - 5º.",4470-151,Maia,Maia,Porto,,98.4,Temático - Informativo,Local,Porto,Vila do Conde,Angélica Maria Corgo dos Santos da Nova,Angélica Maria Corgo dos Santos da Nova,OBSRVDOR,administrativos@canal5.pt,08-05-2039
423026,05-03-2001,"Ao Tom Dela (Rádio), Lda","Rua João Saraiva, nº7",1700-051,Lisboa,Lisboa,Lisboa,,Rádio Observador Viseu,"Rua João Saraiva, 7",1700-051,Lisboa,Lisboa,Lisboa,,91.2,Temático - Informativo,Local,Viseu,Tondela,Pedro Jorge Castro,Pedro Jorge Castro,OBSRVDOR,rwgruner@observador.pt,21-05-2039
423027,26-03-2001,GEICE - Grupo de Estudos e Investigação de Ciências Experimentais,"R. José Espregueira, 23 - r/c",4900-459,Viana do Castelo,Viana do Castelo,Viana do Castelo,,Rádio Geice,"R. José Espregueira, 23 r/c",4900-459,Viana do Castelo,Viana do Castelo,Viana do Castelo,,90.8,Generalista,Local,Viana do Castelo,Viana do Castelo,Rui Gonçalves,Rui Pinheiro Mesquita,GEICE FM,geral@radiogeice.com,08-05-2039
423028,29-03-2001,"Antena Minho - Emissora Regional de Braga, Lda","Praceta Escola do Magistério, 36",4700-222,Braga,Braga,Braga,,Radio Antena Minho,"Praceta Escola do Magistério, 36",4700-222 Braga,Braga,Braga,Braga,,106.0,Generalista,Local,Braga,Braga,José Manuel de Azevedo e Costa Portugal,Rui Miguel da Graça Silva,ANTMINHO,administracao@correiodominho.pt,08-05-2039
423029,10-05-2001,"Rádio Foia, C.R.L.","R. de Santo António, 2B",8550-444,Monchique,Monchique,Faro,,Mega Hits Algarve,"R. de Santo António, 2B",8550-444,Monchique,Monchique,Faro,,97.1,Temático - Musical,Local,Faro,Monchique,Nelson Cunha,Pedro Leal,MEGA AL,radiofoia@mail.telepac.pt,29-03-2039
423031,17-05-2001,"Ser - Sociedade Elvense de Radiodifusão, Lda.","R. dos Chilões, 1 - R/C",7350-078,Elvas,Elvas,Portalegre,,Rádio Elvas,"R. dos Chilões, 1 - R/C",7350-078,Elvas,Elvas,Portalegre,,91.5,Generalista,Local,Portalegre,Elvas,Sandra Maria Figueiredo de Almeida Matoso,Jorge Bento Sousa,RADELVAS,radioelvas.geral@gmail.com,06-11-2040
423032,22-05-2001,Associação Humanitária de Bombeiros Voluntários de São Vicente e Porto Moniz,Quartel dos Bombeiros Voluntários de São Vicente,9240-225,Vila de São Vicente,São Vicente,Ilha da Madeira,Região Autónoma da Madeira,Rádio Porto Moniz,"Gabinete de Apoio ao Idoso - Estrada das Ginjas, 1",9240-209,Ginjas,São Vicente,Ilha da Madeira,Região Autónoma da Madeira,102.9,Generalista,Local,Ilha da Madeira,Porto Moniz,Maria Mafalda Abreu,Maria Mafalda Abreu,,radiosvicente@gmail.com,06-11-2040
423032,22-05-2001,Associação Humanitária de Bombeiros Voluntários de São Vicente e Porto Moniz,Quartel dos Bombeiros Voluntários de São Vicente,9240-225,Vila de São Vicente,São Vicente,Ilha da Madeira,Região Autónoma da Madeira,Rádio São Vicente,Quartel dos Bombeiros Voluntários de São Vicente,9240-225,Vila de São Vicente,São Vicente,Ilha da Madeira,Região Autónoma da Madeira,89.2,Generalista,Local,Ilha da Madeira,São Vicente,Luís Carlos Nascimento Gonçalves,Maria Mafalda de Abreu ,R.S.V.,radiosvicente@gmail.com,06-11-2040
423033,19-06-2001,Associação Cultural e Recreativa - Rádio Hertz,"R. Centro Republicano, 135",2300-359,Tomar,Tomar,Santarém,,Rádio Hertz,"R. Centro Republicano, 135",2300-359,Tomar,Tomar,Santarém,,98.0,Generalista,Local,Santarém,Tomar,João Fernando Franco de Jesus,António Miguel Ribeiro Feliciano,HERTZ FM,joaofranco@radiohertz.pt,08-05-2039
423034,20-06-2001,"Rádio Soberania Empresa de Radiodifusão, Lda","R. José Sucena, 120 - 3º",3750-157,Águeda,Águeda,Aveiro,,Rádio Soberania,"R. José Sucena, 120 - 3º",3750-157,Águeda,Águeda,Aveiro,,99.3,Generalista,Local,Aveiro,Águeda,Sónia Baptista Martins ,Sónia Baptista Martins,,radiosoberania99.3aveiro@gmail.com,21-05-2039
423035,20-06-2001,"Rádio Regional do Centro, Lda",Quinta Nova,3150-120,Condeixa-A-Nova,Condeixa-a-Nova,Coimbra,,Rádio Regional do Centro,Quinta Nova,3150-120,Condeixa-A-Nova,Condeixa-a-Nova,Coimbra,,96.2,Generalista,Local,Coimbra,Condeixa-a-Nova,Lino Augusto Vinhal,Joana Alvim,R.CENTRO,radioregionaldocentro@gmail.com,22-12-2039
423036,20-06-2001,"Presépio de Portugal - Comunicação Social, Unipessoal, Lda","R. Renato Leitão Lourenço, 11",2580-335,Alenquer,Alenquer,Lisboa,,Rádio Voz de Alenquer,"R.Renato Leitão Lourenço, 11",2580-335,Alenquer,Alenquer,Lisboa,,93.5,Generalista,Local,Lisboa,Alenquer,Filipe Manuel da Silva Loureiro,João Honrado,ALENQUER,radio@vozdealenquer.pt,05-03-2039
423037,05-07-2001,"Pense Positivo - Radiodifusão, Lda","R. Tomás da Fonseca, Torre E, Piso 3.º",1600-209,Lisboa,Lisboa,Lisboa,,Rádio Caldas,"R. Tomás da Fonseca, Torre E, 3.º",1600-209,Lisboa,Lisboa,Lisboa,,103.1,Temático - Informativo,Local,Leiria,Caldas da Rainha,Nuno Filipe Domingues,Nuno Filipe Domingues,RADIO CA,jorge.c.ribeirinho@globalmediagroup.pt,21-05-2039
423042,19-07-2001,"Rádio Cardal, Lda.","Av. Heróis do Ultramar, 27 - 2º",3100-462,Pombal,Pombal,Leiria,,Rádio Cardal,"Av. Heróis do Ultramar, 27 - 2º",3100-462,Pombal,Pombal,Leiria,,87.6,Generalista,Local,Leiria,Pombal,Rui Miguel Benzinho da Silva Santos,Nuno Gonçalo Domingues dos Santos,CARDALFM,rui_benzinho@hotmail.com,08-05-2039
423045,26-07-2001,"Rádio Corval, CRL","R. de S. Pedro, 25",7200-132,São Pedro do Corval,Reguengos de Monsaraz,Évora,,Rádio Alentejo,"R. de S. Pedro, 25",7200-132,São Pedro do Corval,Reguengos de Monsaraz,Évora,,96.2,Generalista,Local,Évora,Mourão,João Pedro Flores Alfaiate,Maurício Velez Rebocho,ALENTEJO,rcalentejo@gmail.com,13-06-2040
423046,26-07-2001,Clube Cultural Rádio Marinhais,"R. João Pinto Figueiredo, 155",2125-181,Marinhais,Salvaterra de Magos,Santarém,,Radio Marinhais,"R. João Pinto Figueiredo, 155",2125-181,Marinhais,Salvaterra de Magos,Santarém,,102.5,Generalista,Local,Santarém,Salvaterra de Magos,Jorge Humberto Brardo Burgal,José Peixe,MARNHAIS,rm102.5@sapo.pt,29-03-2039
423047,26-07-2001,"Rádio Cister - Cooperativa Regional de Serviços Radiofónicos, CRL","Av.  Prof. Joaquim Vieira Natividade, 39",2460-071,Alcobaça,Alcobaça,Leiria,,Cister FM,"Av.  Prof. Joaquim Vieira Natividade, 39",2460-071,Alcobaça,Alcobaça,Leiria,,95.5,Generalista,Local,Leiria,Alcobaça,Emanuel Inácio de Moura,Paulo Jorge Libório Alexandre,CFM,secretariado@cister.fm,08-05-2039
423048,26-07-2001,"S.R.A - Sociedade de Radiodifusão de Albufeira, Lda.",Av. dos Descobrimentos - Edif. Rádio Solar - Fracção FP - 1º Fase - 4º andar,8200-260,Albufeira,Albufeira,Faro,,RDS Algarve,"Avenida 1º de Maio 35, 3º B, Edifício Leonense ",2845-583,Paivas - Amora,Seixal,Setúbal,,94.0,Generalista,Local,Faro,Albufeira,José Manuel Dias da Silva,Sandra Cristina Sequeira Ferro,RDS 94.0,josemanueldiasdasilva@gmail.com,11-06-2039
423049,27-07-2001,"Cooperativa de Radiodifusão do Pico, CRL","Av. Machado Serpa, 57",9950-321,Madalena,Madalena,Ilha do Pico,Região Autónoma dos Açores,Rádio Pico,"Av. Machado Serpa, 57",9950-305,Cais da Madalena,Madalena,Ilha do Pico,Região Autónoma dos Açores,100.2,Generalista,Local,Ilha do Pico,Madalena,Marta Vicente ,Emanuel Filipe Maciel Pereira,,radiopico@sapo.pt,05-03-2039
423050,28-08-2001,"Janela Indiscreta - Sociedade de Comunicação, Lda.",Carreira de S. Francisco,7050-160,Montemor-O-Novo,Montemor-o-Novo,Évora,,RNA - Montemor,Carreira de S. Francisco,7050-160,Montemor-O-Novo,Montemor-o-Novo,Évora,,101.3,Generalista,Local,Évora,Montemor-o-Novo,Sandra Almeida,Cláudia Clérigo,,radionovaantena@gmail.com,22-12-2039
423052,29-08-2001,"R.V.E.-Sociedade Radiofónica, Unipessoal, Lda.","R. 1º de Maio, 15, Lj. 3",2330-089,Entroncamento,Entroncamento,Santarém,,Rádio Salesiana 105.7,"R. 1.º de Maio, 15, Lj 3",2330-089,Entroncamento,Entroncamento,Santarém,,105.7,Generalista,Local,Santarém,Entroncamento,Luís Miguel Henriques,Álvaro Artur Pinto do Lago,SALSIANA,luis.henriques@salesianos.pt,11-06-2039
423052,29-08-2001,"R.V.E.-Sociedade Radiofónica, Unipessoal, Lda.","R. 1º de Maio, 15, Lj. 3",2330-089,Entroncamento,Entroncamento,Santarém,,Rádio Salesiana 90.1,"R. 1º de Maio, 15, Lj. 3",2330-089,Entroncamento,Entroncamento,Santarém,,90.1,Generalista,Local,Vila Real,Alijó,Luís Miguel Henriques,Álvaro Artur Pinto do Lago,SALSIANA,luis.henriques@salesianos.pt,22-12-2039
423053,29-08-2001,"Antena Miróbriga - Cooperativa de Serviços, CRL","R.Condes de Avillez, 19-21",7540-152,Santiago do Cacém,Santiago do Cacém,Setúbal,,Rádio M24,"R. Condes de Avilez, 19/21",7540-152,Santiago do Cacém,Santiago do Cacém,Setúbal,,102.7,Generalista,Local,Setúbal,Santiago do Cacém,Lino Alexandre Duarte da Cunha Nunes,Helga Sofia Caniço Nobre,RADIOM24,direcao.radio24@gmail.com,21-05-2039
423054,30-08-2001,"Monsantorádio - Rádio Clube de Monsanto, Unipessoal, Lda.","Rua Álvaro Ferreira Alves, 28",2855-591,Santa Marta do Pinhal,Seixal,Setúbal,,RDS Monsanto,"Av. 1.º de Maio, 35 - 3.º B",2845-583,Paivas,Seixal,Setúbal,,98.7,Generalista,Local,Castelo Branco,Idanha-a-Nova,Lister Silva,Pedro Miguel Carvalho dos Santos,RDS 98.7,radiomonsanto@listermais.pt,11-06-2039
423055,12-09-2001,"SEB - Sociedade Editorial Bética, Lda.","R. Santana e Costa, 18 - R/C Esq.",7860-184,Moura,Moura,Beja,,Rádio Planície,"R. Santana e Costa, 18 - R/C Esq.",7860-184,Moura,Moura,Beja,,92.8,Generalista,Local,Beja,Moura,José Manuel Ventinhas Albardeiro,Patrícia Alexandra Garrido Pato,RP-MOURA,rplanicie@radioplanicie.com,29-03-2039
423056,13-09-2001,"Rádio Maior - Publicidade e Comunicação, Lda.","Praça da República, n.º 4 - 13.º",2040-320,Rio Maior,Rio Maior,Santarém,,Observador 92.6,"Praça da República, 4, 13º",2040-320,Rio Maior,Rio Maior,Santarém,,92.6,Temático - Informativo,Local,Santarém,Rio Maior,Inês Ferreira dos Santos,Inês Ferreira dos Santos,OBSRVDOR,geral@radiomaior.pt,11-06-2039
423058,13-09-2001,"Rádio Baía - Sociedade de Radiodifusão, Lda.","R. João Saraiva, 7",1700-248,Lisboa,Lisboa,Lisboa,,Rádio Observador,"R. João Saraiva, 7",1700-248,Lisboa,Lisboa,Lisboa,,98.7,Temático - Informativo,Local,Setúbal,Seixal,Pedro Jorge Castro,Pedro Jorge Castro,OBSRVDOR,geral.radiobaia@gmail.com,08-05-2039
423059,13-09-2001,Forum Boticas - Associação Recreativa e Cultural,Travessa do Município - Edifício da Camionagem - 1.º Andar,5460-307,Boticas,Boticas,Vila Real,,Alto Tâmega FM,Edificio da Camionagem - 1.º Andar,5460-307,Boticas,Boticas,Vila Real,,103.9,Generalista,Local,Vila Real,Boticas,Manuel Ferreira,Sara Esteves,ALTÂMEGA,forumboticas@gmail.com,22-12-2039
423060,13-09-2001,"Rádio Clube da Pampilhosa - Cooperativa de Radiodifusão, Cultura e Recreio da Pampilhosa","R. de Santo António, 24",3050-456,Pampilhosa,Mealhada,Aveiro,,RDS 92.6,"R. de Santo António, 24",3050-456,Pampilhosa,Mealhada,Aveiro,,92.6,Generalista,Local,Aveiro,Mealhada,João Paulo Mateus Tomé,Sandra Ferro,RDS 92.6,direcaorcp@gmail.com,11-06-2039
423062,13-09-2001,"Rádio Vizela - Cooperativa de Radiodifusão, CRL",Casal de Vila Pouca - Santa Eulália,4620-580,Santa Eulália,Vizela,Braga,,Rádio Vizela,"R. José Ribeiro Ferreira,  Lote 5 - 2.º Esq.",4815-504,Vizela,Vizela,Braga,,97.2,Generalista,Local,Porto,Lousada,Armindo Martinho Lopes Moreira ,Arminda Zélia Ribeiro Pedrosa Fernandes,,administracao@radiovizela.pt,22-12-2039
