Listagem de Operadores Televisivos e respetivos Serviços de Programas ativos a 01 de setembro de 2026,,,,,,,,,,,,,,,
NÚMERO DE REGISTO,DATA DE INSCRIÇÃO,DESIGNAÇÃO SOCIAL,MORADA OPERADOR,CÓDIGO POSTAL,LOCALIDADE ,CONCELHO ,DISTRITO ,REGIÃO AUTÓNOMA ,NOME DE SERVIÇO DE PROGRAMAS,ÂMBITO,TIPO DE PROGRAMAÇÃO,TIPO DE ACESSO,RESPONSÁVEL DE PROGRAMAÇÃO,RESPONSÁVEL DE INFORMAÇÃO,ENDEREÇO DE CORREIO ELETRÓNICO
523384,02-04-1992,"TVI - Televisão Independente, S.A.","R. Mário Castelhano, 40",2734-502,Queluz de Baixo,Oeiras,Lisboa,,TVI Internacional,Internacional,Generalista,Acesso não condicionado com assinatura,José Eduardo Moniz,Nuno Miguel Duarte dos Santos,splopes@mediacapital.pt
523384,02-04-1992,"TVI - Televisão Independente, S.A.","R. Mário Castelhano, 40",2734-502,Queluz de Baixo,Oeiras,Lisboa,,TVI Reality,Nacional,Temático - Entretenimento/ Reality Shows,Acesso não condicionado com assinatura,José Eduardo Moniz,--,splopes@mediacapital.pt
523384,02-04-1992,"TVI - Televisão Independente, S.A.","R. Mário Castelhano, 40",2734-502,Queluz de Baixo,Oeiras,Lisboa,,V+TVI,Nacional,Generalista,Acesso não condicionado com assinatura,Hugo Andrade,Nuno Santos,splopes@mediacapital.pt
523385,05-08-1999,"Sport TV Portugal, S.A.","R. Pedro e Inês, Lote 2.08.01 - 2.º - Parque das Nações – Edif. SPORT.TV",1990-075,Lisboa,Lisboa,Lisboa,,Sport TV +,Nacional,Temático - Desporto,Acesso não condicionado com assinatura,Nuno Manuel Marques Ferreira,Nuno Manuel Marques Ferreira,fmoura@SportTV.pt
523385,05-08-1999,"Sport TV Portugal, S.A.","R. Pedro e Inês, Lote 2.08.01 - 2.º - Parque das Nações – Edif. SPORT.TV",1990-075,Lisboa,Lisboa,Lisboa,,Sport TV 1,Nacional,Temático - Desporto,Acesso condicionado,Nuno Manuel Marques Ferreira,Nuno Manuel Marques Ferreira,fmoura@SportTV.pt
523385,05-08-1999,"Sport TV Portugal, S.A.","R. Pedro e Inês, Lote 2.08.01 - 2.º - Parque das Nações – Edif. SPORT.TV",1990-075,Lisboa,Lisboa,Lisboa,,Sport TV 2,Nacional,Temático - Desporto,Acesso condicionado,Nuno Manuel Marques Ferreira,Nuno Manuel Marques Ferreira,fmoura@SportTV.pt
523385,05-08-1999,"Sport TV Portugal, S.A.","R. Pedro e Inês, Lote 2.08.01 - 2.º - Parque das Nações – Edif. SPORT.TV",1990-075,Lisboa,Lisboa,Lisboa,,Sport TV 3,Nacional,Temático - Desporto,Acesso condicionado,Nuno Manuel Marques Ferreira,Nuno Manuel Marques Ferreira,fmoura@SportTV.pt
523385,05-08-1999,"Sport TV Portugal, S.A.","R. Pedro e Inês, Lote 2.08.01 - 2.º - Parque das Nações – Edif. SPORT.TV",1990-075,Lisboa,Lisboa,Lisboa,,Sport TV 4,Nacional,Temático Desportivo - Desportos Motorizados,Acesso condicionado,Nuno Manuel Marques Ferreira,Nuno Manuel Marques Ferreira,fmoura@SportTV.pt
523385,05-08-1999,"Sport TV Portugal, S.A.","R. Pedro e Inês, Lote 2.08.01 - 2.º - Parque das Nações – Edif. SPORT.TV",1990-075,Lisboa,Lisboa,Lisboa,,Sport TV 5,Nacional,Temático - Desporto,Acesso condicionado,Nuno Manuel Marques Ferreira,Nuno Manuel Marques Ferreira,fmoura@SportTV.pt
523385,05-08-1999,"Sport TV Portugal, S.A.","R. Pedro e Inês, Lote 2.08.01 - 2.º - Parque das Nações – Edif. SPORT.TV",1990-075,Lisboa,Lisboa,Lisboa,,Sport TV 6,Nacional,Temático - Desporto,Acesso condicionado,Nuno Manuel Marques Ferreira,Nuno Manuel Marques Ferreira,fmoura@SportTV.pt
523385,05-08-1999,"Sport TV Portugal, S.A.","R. Pedro e Inês, Lote 2.08.01 - 2.º - Parque das Nações – Edif. SPORT.TV",1990-075,Lisboa,Lisboa,Lisboa,,Sport TV 7,Nacional,Temático - Desporto,Acesso condicionado,Nuno Marques Ferreira,Nuno Marques Ferreira,fmoura@SportTV.pt
523385,05-08-1999,"Sport TV Portugal, S.A.","R. Pedro e Inês, Lote 2.08.01 - 2.º - Parque das Nações – Edif. SPORT.TV",1990-075,Lisboa,Lisboa,Lisboa,,Sport TV África,Internacional,Temático - Desporto,Acesso condicionado,Nuno Manuel Marques Ferreira,Nuno Manuel Marques Ferreira,fmoura@SportTV.pt
523387,28-02-2005,"Rádio e Televisão de Portugal, SA","Av. Marechal Gomes da Costa, 37",1849-030,Lisboa,Lisboa,Lisboa,,RTP 1,Nacional,Generalista,Acesso não condicionado livre,José Manuel Fragoso dos Santos,Vítor Manuel Gonçalves Loureiro,graca.martins@rtp.pt
523387,28-02-2005,"Rádio e Televisão de Portugal, SA","Av. Marechal Gomes da Costa, 37",1849-030,Lisboa,Lisboa,Lisboa,,RTP 2,Nacional,Generalista,Acesso não condicionado livre,Gonçalo Nuno Madaíl Regado,Vítor Manuel Gonçalves Loureiro,graca.martins@rtp.pt
523387,28-02-2005,"Rádio e Televisão de Portugal, SA","Av. Marechal Gomes da Costa, 37",1849-030,Lisboa,Lisboa,Lisboa,,RTP Açores,Regional,Generalista,Acesso não condicionado livre,Rui Fernando Oliveira Goulart,Rui Fernando Oliveira Goulart,graca.martins@rtp.pt
523387,28-02-2005,"Rádio e Televisão de Portugal, SA","Av. Marechal Gomes da Costa, 37",1849-030,Lisboa,Lisboa,Lisboa,,RTP África,Internacional,Generalista,Acesso não condicionado com assinatura,José Manuel Fragoso dos Santos,Vítor Manuel Gonçalves Loureiro,graca.martins@rtp.pt
523387,28-02-2005,"Rádio e Televisão de Portugal, SA","Av. Marechal Gomes da Costa, 37",1849-030,Lisboa,Lisboa,Lisboa,,RTP Madeira,Regional,Generalista,Acesso não condicionado livre,Alberto Gil Caires Baptista Rosa,Alberto Gil Caires Baptista Rosa,graca.martins@rtp.pt
523387,28-02-2005,"Rádio e Televisão de Portugal, SA","Av. Marechal Gomes da Costa, 37",1849-030,Lisboa,Lisboa,Lisboa,,RTP Memória,Nacional,Temático - Histórico e Documental,Acesso não condicionado com assinatura,Gonçalo Nuno Madaíl Regado,Vítor Manuel Gonçalves Loureiro,graca.martins@rtp.pt
523387,28-02-2005,"Rádio e Televisão de Portugal, SA","Av. Marechal Gomes da Costa, 37",1849-030,Lisboa,Lisboa,Lisboa,,RTP Mundo,Internacional,Generalista,Acesso não condicionado com assinatura,José Manuel Fragoso dos Santos,Vítor Manuel Gonçalves Loureiro,graca.martins@rtp.pt
523387,28-02-2005,"Rádio e Televisão de Portugal, SA","Av. Marechal Gomes da Costa, 37",1849-030,Lisboa,Lisboa,Lisboa,,RTP Notícias,Nacional,Temático - Informação,Acesso não condicionado com assinatura,Vítor Manuel Gonçalves Loureiro,Vítor Manuel Gonçalves Loureiro,graca.martins@rtp.pt
523388,06-11-2006,"Avenida dos Aliados - Sociedade de Comunicação, S.A.","R. Joaquim Pinto, 78",4460-338,Senhora da Hora,Matosinhos,Porto,,Porto Canal,Nacional,Temático - Desporto,Acesso não condicionado com assinatura,Daniela Filipa de Almeida Assunção,Daniela Filipa de Almeida Assunção,geral@portocanal.pt
523392,23-02-2009,"Benfica TV, S.A.",Av. Eusébio da Silva Ferreira - Estádio do Sport Lisboa e Benfica,1500-313,Lisboa,Lisboa,Lisboa,,BTV 1,Nacional,Temático - Desporto,Acesso condicionado,Ricardo Miguel Palacin Baleizao Guilherme Ferreira,Ricardo Miguel Palacin Baleizao Guilherme Ferreira,egomes@slbenfica.pt
523396,26-04-2011,"OSTV, Lda","R. Miguel Bombarda, 425",4050-382,Porto,Porto,Porto,,Canal 180,Nacional,Temático - Cultural,Acesso não condicionado com assinatura,João Bacelar de Vasconcelos,,joao.vasconcelos@ostv.pt
523397,23-05-2011,"Dreamia - Serviços de Televisão, S.A.","R. Actor António Silva, 9",1600-404,Lisboa,Lisboa,Lisboa,,Canal BLAST,Internacional,Temático - Cinema,Acesso não condicionado com assinatura,Paulo Lopes Bénard Guedes,,regulacao@nos.pt
523397,23-05-2011,"Dreamia - Serviços de Televisão, S.A.","R. Actor António Silva, 9",1600-404,Lisboa,Lisboa,Lisboa,,Canal Panda,Nacional,Temático - Infantil e Juvenil,Acesso não condicionado com assinatura,Susana Margarida Galhana Gomes,,regulacao@nos.pt
523397,23-05-2011,"Dreamia - Serviços de Televisão, S.A.","R. Actor António Silva, 9",1600-404,Lisboa,Lisboa,Lisboa,,Casa e Cozinha,Nacional,Temático – Entretenimento/ Lifestyle,Acesso não condicionado com assinatura,Marta Bon de Sousa Gaspar Barros,,regulacao@nos.pt
523397,23-05-2011,"Dreamia - Serviços de Televisão, S.A.","R. Actor António Silva, 9",1600-404,Lisboa,Lisboa,Lisboa,,Hollywood,Nacional,Temático - Cinema,Acesso não condicionado com assinatura,Paulo Lopes Bénard Guedes,,regulacao@nos.pt
523397,23-05-2011,"Dreamia - Serviços de Televisão, S.A.","R. Actor António Silva, 9",1600-404,Lisboa,Lisboa,Lisboa,,Panda Kids,Nacional,Temático - Infantil,Acesso não condicionado com assinatura,Susana Margarida Galhana Gomes,,regulacao@nos.pt
523397,23-05-2011,"Dreamia - Serviços de Televisão, S.A.","R. Actor António Silva, 9",1600-404,Lisboa,Lisboa,Lisboa,,VinTV,Nacional,Temático - Cinema/ Séries,Acesso não condicionado com assinatura,Marta Bon de Sousa Gaspar Barros,,regulacao@nos.pt
523398,04-07-2011,"Filmes Hotgold  - Cinema, Vídeo e Distribuição, SA","R. Antiga Fábrica de São Paulo, 18",2580-508,Carregado,Alenquer,Lisboa,,Hot TV,Nacional,Temático - Adultos,Acesso condicionado,João Costa,---,asantos@hotgold.pt
523399,08-07-2011,"Upstar Comunicações, S.A.","Parque Industrial de Vendas Novas, Lote 704",7080-341,Vendas Novas,Vendas Novas,Évora,,Z Sports,Internacional,Temático - Desporto,Acesso condicionado,Rita Sofia da Luz Louro,,geral.upstar@upstar.pt
523399,08-07-2011,"Upstar Comunicações, S.A.","Parque Industrial de Vendas Novas, Lote 704",7080-341,Vendas Novas,Vendas Novas,Évora,,ZAP Novelas,Internacional,Temático - Séries/ Novelas,Acesso não condicionado com assinatura,Ana Patrícia Vieira David de Abreu,---,geral.upstar@upstar.pt
523399,08-07-2011,"Upstar Comunicações, S.A.","Parque Industrial de Vendas Novas, Lote 704",7080-341,Vendas Novas,Vendas Novas,Évora,,ZAP Viva,Internacional,Temático - Entretenimento,Acesso não condicionado com assinatura,Ana Patrícia Vieira David de Abreu,,geral.upstar@upstar.pt
523399,08-07-2011,"Upstar Comunicações, S.A.","Parque Industrial de Vendas Novas, Lote 704",7080-341,Vendas Novas,Vendas Novas,Évora,,ZAP VIVA Internacional,Nacional,Temático - Entretenimento,Acesso não condicionado com assinatura,Ana Patrícia Vieira David de Abreu,,geral.upstar@upstar.pt
523401,30-07-2011,"Canal Q, Unipessoal, Lda.","R. Coronel Galhardo, 32",2950-267,Palmela,Palmela,Setúbal,,Q,Nacional,Temático - Entretenimento,Acesso não condicionado com assinatura,André da Silva Machado Caldeira,,andrecaldeira@canalq.pt
523402,08-10-2012,"Vicra Comunicações Unipessoal , Lda.","Rua Tomás da Fonseca, Torre E, 7º. Piso",1600-209,Lisboa,Lisboa,Lisboa,,A Bola TV,Nacional,Temático - Desporto,Acesso não condicionado com assinatura,Luís Filipe Figueiredo,Luís Pedro Paiva Ferreira,services@abola.pt
523405,08-10-2012,"Canalvisão - Comunicação Multimédia, S.A.","Praceta Pêro da Covilhã, Lt. 66, 5º D",2785-471,Matarraque,Cascais,Lisboa,,Localvisão TV,Nacional,Temático - Cultural/ Social,Acesso não condicionado com assinatura,Carlos Manuel Rebelo Ramalho,Carlos Manuel Rebelo Ramalho,carlos.ramalho@localvisao.pt
523406,11-02-2013,"NOS Audio – Sales and Distribution, S.A","R. Actor António Silva, 9",1600-404,Lisboa,Lisboa,Lisboa,,CANAL NOS,Nacional,Temático,Acesso não condicionado com assinatura,Sara Margarida Simões de Brito Godinho Moinhos,,regulacao@nos.pt
523406,11-02-2013,"NOS Audio – Sales and Distribution, S.A","R. Actor António Silva, 9",1600-404,Lisboa,Lisboa,Lisboa,,NOS STUDIOS,Nacional,Temático - Cinema,Acesso condicionado,Jorge Miguel Pires Ramos,,regulacao@nos.pt
523406,11-02-2013,"NOS Audio – Sales and Distribution, S.A","R. Actor António Silva, 9",1600-404,Lisboa,Lisboa,Lisboa,,TV Cine Action,Nacional,Temático - Cinema/ Séries,Acesso condicionado,Jorge Miguel Pires Ramos,,regulacao@nos.pt
523406,11-02-2013,"NOS Audio – Sales and Distribution, S.A","R. Actor António Silva, 9",1600-404,Lisboa,Lisboa,Lisboa,,TV Cine Edition,Nacional,Temático - Cinema,Acesso condicionado,Jorge Miguel Pires Ramos,,regulacao@nos.pt
523406,11-02-2013,"NOS Audio – Sales and Distribution, S.A","R. Actor António Silva, 9",1600-404,Lisboa,Lisboa,Lisboa,,TV Cine Emotion,Nacional,Temático - Cinema/ Séries,Acesso condicionado,Jorge Miguel Pires Ramos,,regulacao@nos.pt
523406,11-02-2013,"NOS Audio – Sales and Distribution, S.A","R. Actor António Silva, 9",1600-404,Lisboa,Lisboa,Lisboa,,TV Cine Top,Nacional,Temático - Cinema,Acesso condicionado,Jorge Miguel Pires Ramos,,regulacao@nos.pt
523406,11-02-2013,"NOS Audio – Sales and Distribution, S.A","R. Actor António Silva, 9",1600-404,Lisboa,Lisboa,Lisboa,,TVCine Power,Internacional,Temático - Cinema/ Séries,Acesso condicionado,Jorge Miguel Pires Ramos,,regulacao@nos.pt
523407,18-08-2014,"Cinemundo, Lda.","R. João Chagas, 12B - Dto.",1500-493,Lisboa,Lisboa,Lisboa,,Cinemundo,Nacional,Temático - Cinema,Acesso não condicionado com assinatura,Miguel Augusto Chambel Rodrigues,,miguel.chambel@cinemundo.pt
523407,18-08-2014,"Cinemundo, Lda.","R. João Chagas, 12B - Dto.",1500-493,Lisboa,Lisboa,Lisboa,,DStv Pipoca,Internacional,Temático - Cinema,Acesso não condicionado com assinatura,Miguel Augusto Chambel Rodrigues,,miguel.chambel@cinemundo.pt
523408,18-08-2014,"Sporting - Comunicação e Plataformas, S.A.",Estádio José de Alvalade - R. Prof. Fernando da Fonseca,1600-616,Lisboa,Lisboa,Lisboa,,Sporting TV,Nacional,Temático - Desporto,Acesso não condicionado com assinatura,Sérgio Sousa,André Esperança Vasconcelos e Sá,abpires@sporting.pt
523409,12-02-2015,"Medialivre, S.A.","R. Luciana Stegagno Picchio, 3",1549-023,Lisboa,Lisboa,Lisboa,,CMTV,Nacional,Generalista,Acesso não condicionado com assinatura,Carlos Filipe Espinho Rodrigues,Carlos Filipe Espinho Rodrigues,plataforma@medialivre.pt
523409,12-02-2015,"Medialivre, S.A.","R. Luciana Stegagno Picchio, 3",1549-023,Lisboa,Lisboa,Lisboa,,CMTV Internacional,Internacional,Generalista,Acesso não condicionado com assinatura,Carlos Filipe Espinho Rodrigues,Carlos Filipe Espinho Rodrigues,plataforma@medialivre.pt
523409,12-02-2015,"Medialivre, S.A.","R. Luciana Stegagno Picchio, 3",1549-023,Lisboa,Lisboa,Lisboa,,News Now,Nacional,Temático - Informação,Acesso não condicionado com assinatura,Carlos Rodrigues,Carlos Rodrigues,plataforma@medialivre.pt
523410,25-02-2016,"Fuel TV EMEA, S.A.","Edif.Prime, Av. Qt.ª Grande, n.º 53 - 8.º D",2610-156,Amadora,Amadora,Lisboa,,Fuel TV,Internacional,Temático - Desporto,Acesso não condicionado com assinatura,Fernando Figueiredo,,fernando@fuel.tv
523411,16-05-2016,"Motes & Ideias, Lda.","Av. Dom João II, Edif. Mar Vermelho, 50 - 4.º",1990-095,Lisboa,Lisboa,Lisboa,,Kuriakos TV,Nacional,Temático - Religião,Acesso não condicionado com assinatura,Stella Lie Kato,João Carlos Dias,moteseideias@mail.com
523414,21-08-2017,Comunidade Canção Nova,"Estrada da Batalha, 68",2495-405,Fátima,Ourém,Santarém,,TV Canção Nova Portugal,Nacional,Temático - Religião,Acesso não condicionado com assinatura,Simone Pinto,José Manuel da Conceição Simões,contabilidade@cancaonova.pt
523415,29-03-2018,"Canalife, Serviços de Comunicação, S.A.","Travessa da Fonte de Cima, 2",2665-618,Venda do Pinheiro,Mafra,Lisboa,,S+,Nacional,Temático - Saúde,Acesso não condicionado com assinatura,Vasco Nuno da Fonseca Domingos,Vasco Nuno da Fonseca Domingos,vasco.domingos@saudemais.tv
523416,17-05-2019,"C11 - Multimédia, Unipessoal, Lda.",Av. das Seleções,1495-433,Cruz Quebrada,Oeiras,Lisboa,,11,Nacional,Temático - Desporto,Acesso não condicionado com assinatura,José Manuel Ribeiro,Jaime Cravo,direcaojuridica@fpf.pt
523417,09-06-2022,"Paulo Feliciano - Audiovisual, Sociedade Unipessoal Lda.","R. Beato João Batista Machado, 50",9700-028,Angra do Heroísmo,Angra do Heroísmo,Ilha Terceira,Região Autónoma dos Açores,Azores TV,Nacional,Temático,Acesso não condicionado com assinatura,Paulo Feliciano,Octávia Pinheiro,info@azorestv.com
523418,13-07-2022,Igreja Universal do Reino de Deus,"Av. Marechal Gomes da Costa,  21 D",1800-255,Lisboa,Lisboa,Lisboa,,UNIFÉ TV,Nacional,Temático - Religioso/Espiritual,Acesso não condicionado com assinatura,Reginaldo Pereira Silva,Reginaldo Pereira Silva,pcfr@igrejauniversal.pt
523419,23-02-2023,"Rede Record de Televisão - Europa, S.A.","R. Mártires de Timor, 34 - Qt.ª Figo Maduro",2685-331,Prior Velho,Loures,Lisboa,,RecordTV,Internacional,Generalista,Acesso não condicionado com assinatura,Rui Jorge de Sousa Reis,Liliana Maria de Oliveira Gomes,rureis@recordeuropa.com
523421,03-09-2025,"Conta Lá - Conteúdos Audiovisuais, S.A.","R. Mestre Martins Correia, 2-I, Escritório 10",1050-908,Lisboa,Lisboa,Lisboa,,Conta Lá Centro,Nacional,Generalista,Acesso não condicionado com assinatura,Diogo Alexandre,Ana Sofia Vinhas,juridicos@conta-la.pt
523421,03-09-2025,"Conta Lá - Conteúdos Audiovisuais, S.A.","R. Mestre Martins Correia, 2-I, Escritório 10",1050-908,Lisboa,Lisboa,Lisboa,,Conta Lá Norte,Nacional,Generalista,Acesso não condicionado com assinatura,Diogo Alexandre,Ana Sofia Vinhas,juridicos@conta-la.pt
523421,03-09-2025,"Conta Lá - Conteúdos Audiovisuais, S.A.","R. Mestre Martins Correia, 2-I, Escritório 10",1050-908,Lisboa,Lisboa,Lisboa,,Conta Lá Rural,Nacional,Temático,Acesso não condicionado com assinatura,Diogo Alexandre,António Rosa,juridicos@conta-la.pt
523421,03-09-2025,"Conta Lá - Conteúdos Audiovisuais, S.A.","R. Mestre Martins Correia, 2-I, Escritório 10",1050-908,Lisboa,Lisboa,Lisboa,,Conta Lá Sul,Nacional,Generalista,Acesso não condicionado com assinatura,Diogo Alexandre,Ana Sofia Vinhas,juridicos@conta-la.pt
