Listagem de Publicações Periódicas ativas à data de 01 de setembro de 2026,,,,,,,,,,,,,,,,,,,,,,
NÚMERO DE REGISTO,DATA DE INSCRIÇÃO,DENOMINAÇÃO,SUPORTE,ÂMBITO,CONTEÚDO,PERIODICIDADE,SITUAÇÃO PP,MORADA SEDE REDAÇÃO,CÓDIGO POSTAL SEDE REDAÇÃO,LOCALIDADE SEDE REDAÇÃO,CONCELHO SEDE REDAÇÃO,DISTRITO SEDE REDAÇÃO,EDITOR,DIRETOR,DIRETOR ADJUNTO,SUBDIRETOR,NOME / DESIGNAÇÃO SOCIAL - PROPRIETÁRIO,CONCELHO,DISTRITO,REGIÃO AUTÓNOMA PROP,ENDEREÇO DE CORREIO ELETRÓNICO,WEBSITE
100101,25-06-1973,Vértice,Papel/Online,Nacional,Informação Especializada,Trimestral,Registo Definitivo,"Campo Grande, 220-A",1700-094,Lisboa,Lisboa,Lisboa,"Página a Página - Divulgação do Livro, S.A.",Francisco José Névoa Melo,,,"Página a Página - Divulgação do Livro, SA",Lisboa,Lisboa,,isimoes@paginaapagina.pt,https://www.paginaapagina.pt
100103,02-08-1972,Jornal da Marinha Grande,Papel/Online,Regional,Informação Geral,Semanal,Registo Definitivo,"Tv. Vieira de Leiria, 9",2430-276,Marinha Grande,Marinha Grande,Leiria,"Jornal da Marinha Grande, Lda.",António José Lopes Ferreira,,,"Jornal da Marinha Grande, Lda.",Marinha Grande,Leiria,,monica@jornaldamarinha.pt,www.jornaldamarinha.pt
100109,02-08-1972,Fraternidade,Papel,Nacional,Doutrinária,Mensal,Registo Definitivo,"Calçada de Santo António, 14 A/B",1150-313,Lisboa,Lisboa,Lisboa,Associação de Beneficiência Fraternidade,Maria Pires Vasco de Matos Neves,,,Associação de Beneficiência Fraternidade,Lisboa,Lisboa,,abfceak@gmail.com,
100117,03-08-1972,Jornal O Despertar,Papel/Online,Regional,Informação Geral,Semanal,Registo Definitivo,"R. Adriano Lucas, 216 - Armazém D",3020-430,Coimbra,Coimbra,Coimbra,"António de Sousa (Herdeiros), Lda",Lino Vinhal,,,"António de Sousa (Herdeiros), Lda.",Coimbra,Coimbra,,odespertar.jornal@gmail.com,www.odespertar.pt
100128,04-08-1972,Jornal de Sintra,Papel/Online,Regional,Informação Geral,Semanal,Registo Definitivo,"Av. Heliodoro Salgado, 6",2710-572,Sintra,Sintra,Lisboa,"Tipografia Medina, S.A.",Idalina Grácio de Andrade,,,"Tipografia Medina, SA",Sintra,Lisboa,,direcao@jornaldesintra.pt,https://www.jornaldesintra.com/
100162,10-10-1973,A Voz de Leça,Papel,Regional,Informação Geral,Bimestral,Registo Definitivo,Av. Dr. Fernando Aroso,4450-665,Matosinhos,Matosinhos,Porto,Francisco Andrade Moreira da Costa,Francisco Andrade Moreira da Costa,,,Fábrica da Igreja Paroquial de Leça da Palmeira,Matosinhos,Porto,,paroquiadeleca@sapo.pt,
100216,10-08-1973,O Semeador Baptista,Online,Nacional,Doutrinária,Quadrimestral,Registo Definitivo,"R. Luís Simões, 7 - 1º. Dto.",2745-173,Queluz,Sintra,Lisboa,Convenção Baptista Portuguesa,Rui Manuel Santos Cadete Sabino,,,Convenção Baptista Portuguesa,Sintra,Lisboa,,convencao.b.portuguesa@gmail.com,https://convencaobaptista.pt/recursos/semeador-baptista/
100226,11-09-1973,ACP Revista,Papel/Online,Nacional,Informação Especializada,Trimestral,Registo Definitivo,"R. Rosa Araújo, 24",1250-195,Lisboa,Lisboa,Lisboa,Automóvel Clube de Portugal,Rosário Abreu Lima,,,Automóvel Clube de Portugal,Lisboa,Lisboa,,revista@acp.pt,www.acp.pt
100228,16-08-1972,Diário de Notícias,Papel/Online,Regional,Informação Geral,Diária,Registo Definitivo,"R. Dr. Fernão de Ornelas, 56 - 3º",9054-514,Funchal,Funchal,Ilha da Madeira,"Empresa do Diário de Notícias, Lda",Ricardo Miguel Fernandes Oliveira,,Roberto Ferreira,"Empresa do Diario de Noticias, Lda.",Funchal,Ilha da Madeira,Região Autónoma da Madeira,secretariado@dnoticias.pt,www.dnoticias.pt
100233,13-08-1972,Cavaleiro da Imaculada,Papel/Online,Nacional,Doutrinária,Mensal,Registo Definitivo,"R. Duque de Palmela, 11",4000-373,Porto,Porto,Porto,David da Costa Teixeira,David da Costa Teixeira,,,Província Portuguesa da Sociedade Salesiana - Corporação Missionária,Lisboa,Lisboa,,cavaleiro.imaculada@editora.salesianos.pt,https://www.salesianos.pt/arquivo-do-cavaleiro-da-imaculada
100242,16-08-1974,O Dever,Papel,Regional,Informação Geral,Semanal,Registo Definitivo,R. de São Francisco,9930-135,Lajes do Pico,Lajes do Pico,Ilha do Pico,Fábrica da Igreja Paroquial da Santíssima Trindade,António Duarte Azevedo,,,Fábrica da Igreja Paroquial da Santíssima Trindade,Lajes do Pico,Ilha do Pico,Região Autónoma dos Açores,jornalodever@sapo.pt,
100250,17-08-1972,O Olhanense,Papel,Regional,Informação Geral,Quinzenal,Registo Definitivo,"Praça da Restauração, 18 - Galeria ""Pátio""",8700-350,Olhão,Olhão,Faro,Sporting Clube Olhanense,Mário Coelho Proença Leonardo,-,,Sporting Clube Olhanense,Olhão,Faro,,jornal.olhanense1963@hotmail.com,
100252,18-08-1972,Associação Cultural Amigos do Porto,Papel,Regional,Informação Especializada,Anual,Registo Definitivo,"Praça General Humberto Delgado, 267 - 3º - S/10",4000-288,Porto,Porto,Porto,Associação Cultural Amigos do Porto,Maria Natália de Almeida e Sousa Queiroz,,,Associação Cultural Amigos do Porto,Porto,Porto,,amigosdoporto.acap@gmail.com,
100262,18-08-1972,Diário do Sul,Papel/Online,Regional,Informação Geral,Diária,Registo Definitivo,Estrada de Arraiolos - Lugar de S. Bruno aos Arcos da Cartuxa,7000-171,Évora,Évora,Évora,Paulo Jorge Sertório Madeira Piçarra,Manuel José Madeira Piçarra,Manuel José Sertório Piçarra e Maria da Conceição Piçarra,,"Piçarra - Distribuição de Jornais, Lda.",Évora,Évora,,administracao@diariodosul.pt,https://www.diariodosul.pt
100268,18-08-1972,Jornal do Fundão,Papel/Online,Regional,Informação Geral,Semanal,Registo Definitivo,"R. dos Restauradores, Lote 14",6230-499,Fundão,Fundão,Castelo Branco,"Jornal do Fundão Editora, Lda",Nuno Alexandre de Oliveira Marques Francisco,,,"Jornal do Fundão Editora, Lda.",Fundão,Castelo Branco,,geral@jornaldofundao.pt,https://www.jornaldofundao.pt
100277,17-04-1975,Voz da Verdade,Online,Regional,Doutrinária,Semanal,Registo Definitivo,Mosteiro de S. Vicente de Fora,1100-083,Lisboa,Lisboa,Lisboa,"Nova Terra - Empresa Editorial, Lda",Vítor Manuel Fernandes Gonçalves,,,"Nova Terra - Empresa Editorial, Lda",Lisboa,Lisboa,,vozverdade@patriarcado-lisboa.pt,https://vozdaverdade.patriarcado-lisboa.pt/
100299,10-10-1973,Boletim do Contribuinte,Papel/Online,Nacional,Informação Especializada,Quinzenal,Registo Definitivo,"R. Gonçalo Cristóvão, 14, R/C",4000-263,Porto,Porto,Porto,"Vida Económica - Editorial, SA",João Luis Marinho Peixoto de Sousa,,,"Vida Económica - Editorial, SA",Porto,Porto,,mariajoao@vidaeconomica.pt,https://www.vidaeconomica.pt
100308,21-02-1975,Diário do Minho,Papel/Online,Regional,Informação Geral,Diária,Registo Definitivo,"R. de São Brás, 1",4710-073,Braga,Braga,Braga,"Empresa do Diário do Minho, Lda",Damião António Gonçalves Pereira,,,"Empresa do Diário do Minho, Lda",Braga,Braga,,redaccao@diariodominho.pt,https://www.diariodominho.pt
100311,21-08-1972,Boletim Salesiano,Papel/Online,Nacional,Doutrinária,Bimestral,Registo Definitivo,"R. Saraiva de Carvalho, 275",1399-020,Lisboa,Lisboa,Lisboa,Salesianos Editora,Joaquim Antunes Marques Pereira,,,Província Portuguesa da Sociedade Salesiana - Corporação Missionária,Lisboa,Lisboa,,boletim.salesiano@salesianos.pt,www.salesianos.pt/bs
100313,21-08-1972,Sporting,Papel/Online,Nacional,Informação Especializada,Semanal,Registo Definitivo,R. Prof. Fernando da Fonseca,1600-616,Lisboa,Lisboa,Lisboa,Sporting Clube de Portugal,Mafalda Sofia Jerónimo Barbosa,,,Sporting Clube de Portugal,Lisboa,Lisboa,,media@sporting.pt,www.sporting.pt
100334,30-08-1973,Renascimento,Papel,Regional,Informação Geral,Mensal,Registo Definitivo,"Avenida da Liberdade, 20",3530-113,Mangualde,Mangualde,Viseu,"Empresa Jornalística Renascimento, Lda.",Serafim Ferreira Gomes Tavares,Isabel Pimentel Tavares,,"Empresa Jornalística Renascimento, Lda.",Mangualde,Viseu,,jornalrenascimentomangualde@gmail.com,
100338,24-06-1974,O Concelho da Murtosa,Papel,Regional,Informação Geral,Mensal,Registo Definitivo,"Av. 29 de Outubro, 14 - B",3870-226,Murtosa,Murtosa,Aveiro,Joaquim Guilherme de Almeida Belo e Primo,Joaquim Guilherme de Almeida Belo e Primo,,,"Ferreira Primo - Sociedade Unipessoal, Lda.",Murtosa,Aveiro,,jornalcmurtosa@sapo.pt,https://www.jornalcmurtosa
100340,29-12-1972,A Comarca da Sertã,Papel,Regional,Informação Geral,Quinzenal,Registo Definitivo,"R. Dr. Carlos Martins,  7",6100-759,Sertã,Sertã,Castelo Branco,"Verde Press - Edições , Lda",João Miguel Barata Martins,,,"Verde Press - Edições, Lda.",Sertã,Castelo Branco,,acomarcadaserta@gmail.com,
100346,26-09-1973,O Varzeense,Papel,Regional,Informação Geral,Quinzenal,Registo Definitivo,Largo da Igreja,3330-460,Várzea Grande,Góis,Coimbra,Associação Cristã de Cultura e Cidadania de Vila Nova do Ceira,Orlando José Guerra Henriques,,,Associação Cristã de Cultura e Cidadania de Vila Nova do Ceira,Góis,Coimbra,,varzeense@gmail.com,
100383,17-04-1975,O Comércio de Guimarães,Papel/Online,Regional,Informação Geral,Semanal,Registo Definitivo,"R. Dr. José Sampaio, 264",4810-275,Guimarães,Guimarães,Braga,"Guimapress, SA",Joaquim António Pereira Fernandes,,,"Guimapress, SA",Guimarães,Braga,,administracao@guimaraesdigital.com,https://www.guimaraesdigital.pt/index.php/grupo-santiago/o-comercio-de-guimaraes/edicao-da-semana
100398,15-03-1974,O Gaiato,Papel,Regional,Informação Geral,Quinzenal,Registo Definitivo,Casa do Gaiato,4560-373,Paço de Sousa,Penafiel,Porto,Obra da Rua ou Obra do Padre Américo,Júlio de Freitas Pereira,Américo Carvalho Mendes,,Obra da Rua ou Obra do Padre Américo,Penafiel,Porto,,jornal.o.gaiato@obradarua.pt,
100408,26-09-1973,Notícias de Avanca,Papel,Regional,Informação Geral,Mensal,Registo Definitivo,Residência Paroquial de Avanca,3860-133,Avanca,Estarreja,Aveiro,Fábrica da Igreja Paroquial de Avanca,José Henriques da Silva,,,Fábrica da Igreja Paroquial de Avanca,Estarreja,Aveiro,,paroquiadeavanca@gmail.com,
100434,28-08-1972,Segurança,Online,Nacional,Informação Especializada,Bimestral,Registo Definitivo,"R. Nossa Senhora do Socorro, 8, 2º Esq.",2890-318,São Francisco,Alcochete,Setúbal,Maria Isabel Correia Saraiva dos Santos,Maria Isabel Correia Saraiva dos Santos,,,Maria Isabel Correia Saraiva dos Santos,Alcochete,Setúbal,,isabelsantos53@zonmail.pt,http://www.revistaseguranca.eu
100438,28-08-1973,Igreja Açores,Online,Regional,Doutrinária,Diária,Registo Definitivo,"R. dos Canos Verdes, 127",9700-040,Angra do Heroísmo,Angra do Heroísmo,Ilha Terceira,"UGA - União Gráfica Angrense, Unipessoal, Lda",Ricardo António Henriques,,,"UGA. - União Gráfica Angrense, Unipessoal, Lda.",Angra do Heroísmo,Ilha Terceira,Região Autónoma dos Açores,press@diocesedeangra.pt,www.igrejaacores.pt
100440,13-05-1975,Voz do Trabalho,Papel,Nacional,Doutrinária,Bimestral,Registo Definitivo,"Av. Sidónio Pais, 20 - 4º Dto.",1050-215,Lisboa,Lisboa,Lisboa,Liga Operária Católica - Movimento de Trabalhadores Cristãos - (LOC/MTC),Maria de Fátima Moreira Pinto,,,Liga Operária Católica - Movimento de Trabalhadores Cristãos - LOC/MTC,Lisboa,Lisboa,,loc@sapo.pt,www.loc-mtc.ecclesia.pt
100441,04-09-1973,Rosacruz,Papel,Nacional,Informação Especializada,Trimestral,Registo Definitivo,"R. de Manuel Murias, 12 - 5º Esq.",1500-419,Lisboa,Lisboa,Lisboa,Fraternidade Rosacruz de Portugal,Francisco Manuel de Brito Coelho,,,Fraternidade  Rosacruz de Portugal,Lisboa,Lisboa,,rosacruz@mail.telepac.pt,www.rosacruz.pt
100455,28-08-1972,Atlântida,Papel,Nacional,Informação Especializada,Anual,Registo Definitivo,Alto das Covas - Ap. 67,9700-220,Angra do Heroísmo,Angra do Heroísmo,Ilha Terceira,Instituto Açoriano de Cultura,Carlos Lino Portela de Bessa,,,Instituto Açoriano de Cultura,Angra do Heroísmo,Ilha Terceira,Região Autónoma dos Açores,iac@iac-azores.org,
100458,28-08-1972,Cidade de Tomar,Papel/Online,Regional,Informação Geral,Semanal,Registo Definitivo,"Travessa da Cascalheira, 27",2300-522,Tomar,Tomar,Santarém,"Empresa Editora Cidade de Tomar, Lda.",António Cândido Lopes Madureira,,,"Empresa Editora Cidade de Tomar, Lda.",Tomar,Santarém,,publicidade@cidadetomar.pt,
100507,04-09-1973,Notícias dos Arcos,Papel/Online,Regional,Informação Geral,Quinzenal,Registo Definitivo,Largo da Misericórdia,4974-009,Arcos de Valdevez,Arcos de Valdevez,Viana do Castelo,Maria Paula Barros Pinto,Mário Gaspar Leite de Barros Pinto,,,"Jornalgraf, Edições, Lda",Arcos de Valdevez,Viana do Castelo,,noticias.arcos@gmail.com,https://www.noticiasdosarcos.com
100510,29-08-1972,Selecções do Reader's Digest,Papel,Nacional,Informação Geral,Mensal,Registo Definitivo,"R. da Indústria, 4 - 1º.",2614-517,Amadora,Amadora,Lisboa,"Ediclube - Edição e Promoção do Livro, S.A.",Maria José Gomes de Mendonça Taborda Martins,,,"Ediclube - Edição e Promoção do Livro, S.A.",Amadora,Lisboa,,mcosta@seleccoes.pt,www.seleccoes.pt
100512,29-08-1972,Região de Leiria,Papel/Online,Regional,Informação Geral,Semanal,Registo Definitivo,"R. Comissão da Iniciativa, 2 A, Edifício Torre Brasil  - Esc. 312, 3º",2410-098,Leiria,Leiria,Leiria,"Empresa Jornalística Região de Leiria, Lda",Francisco Manuel Gameiro Rebelo Santos,,,"Empresa Jornalística Região de Leiria, Lda.",Leiria,Leiria,,francisco.santos@regiaodeleiria.pt,www.regiaodeleiria.pt
100536,29-08-1972,O Almeirinense,Papel/Online,Regional,Informação Geral,Quinzenal,Registo Definitivo,"R. Almirante Reis, 32",2080-060,Almeirim,Almeirim,Santarém,Santa Casa da Misericordia de Almeirim,Francisco José Braamcamp Lobo de Vasconcelos,Vasco Novais Branco,,Santa Casa da Misericórdia de Almeirim,Almeirim,Santarém,,santacasaalmeirim@scmalm.pt,https://www.almeirinense.com
100538,15-04-1973,CF Correio da Feira,Online,Regional,Informação Geral,Anual,Registo Definitivo,"R. 1º. de Maio, 221 - A",4520-115,Roligo,Santa Maria da Feira,Aveiro,"Efeito Mensagem, Lda.",Nelson Ricardo Gomes da Costa,,,"Efeito Mensagem, Lda.",Santa Maria da Feira,Aveiro,,geral@correiodafeira.pt,https://correiodafeira.pt
100543,29-08-1972,O Figueirense,Papel/Online,Regional,Informação Geral,Mensal,Registo Definitivo,"R. Dr. Calado, 1",3080-153,Figueira da Foz,Figueira da Foz,Coimbra,"Fozcom - Produção e Comunicação Multimédia, S.A.",António Jorge Rocha Lé,,,"Fozcom - Produção e Comunicação Multimédia, S.A.",Figueira da Foz,Coimbra,,direcao@ofigueirense.com,https://www.ofigueirense.com
100544,29-08-1972,Defesa da Beira,Papel,Regional,Informação Geral,Semanal,Registo Definitivo,"Parque Industrial Manuel Lourenço Ferreira, lote 28",3450-113,Barril,Mortágua,Viseu,"Aguieira Imprime, Unipessoal, Lda.",Luís Filipe de Almeida Silva,Manuel António Marques Pereira,,"Aguieira Imprime, Unipessoal, Lda.",Mortágua,Viseu,,defesadabeira@sapo.pt,
100546,29-08-1972,Maria da Fonte,Papel,Regional,Informação Geral,Quinzenal,Registo Definitivo,"Largo  António Lopes, 68/70",4830-516,Póvoa de Lanhoso,Póvoa de Lanhoso,Braga,"Arcada Nova - Comunicação, Marketing e Publicidade, Lda.",Rui Miguel da Graça Silva,,,"Arcada Nova - Comunicação, Marketing e Publicidade, Lda.",Braga,Braga,,jornalmariadafonte@sapo.pt,
100548,30-03-1973,Jornal de Proença,Papel/Online,Regional,Informação Geral,Quinzenal,Registo Definitivo,"Residência Paroquial - R. da Igreja, 1",6150-310,Proença-a-Nova,Proença-a-Nova,Castelo Branco,Virgílio da Mata Martins,Virgílio da Mata Martins,,,Fábrica da Igreja Paroquial de Proença-a-Nova,Proença-a-Nova,Castelo Branco,,direcao@jornalproenca.pt,https://jornalproenca.pt
100552,02-04-1975,Diário dos Açores,Papel/Online,Regional,Informação Geral,Diária,Registo Definitivo,"R. Dr. João Francisco de Sousa, 16",9500-187,Ponta Delgada,Ponta Delgada,Ilha de São Miguel,"Empresa Diário dos Açores, Lda",Paulo Hugo Falcão Pereira de Viveiros,,,"Empresa do Diário dos Açores, Lda.",Ponta Delgada,Ilha de São Miguel,Região Autónoma dos Açores,jornal@diariodosacores.pt,http://diariodosacores.pt/
100556,15-04-1975,V P - Voz Portucalense,Papel,Regional,Informação Geral,Semanal,Registo Definitivo,"Casa Episcopal do Porto, Terreiro da Sé",4050-573,Porto,Porto,Porto,Fundação Voz Portucalense,Manuel  Correia Fernandes,Rui Manuel Lamego Saraiva,,Fundação Voz Portucalense,Porto,Porto,,secretariavp@gmail.com,www.voz-portucalense.pt
100562,30-08-1973,Selos & Moedas,Papel/Online,Nacional,Informação Especializada,Semestral,Registo Definitivo,"Praça Dr. Joaquim de Melo Freitas , 3",3800-158,Aveiro,Aveiro,Aveiro,Secção Filatélica e Numismática do Clube dos Galitos,João Paulo Antunes Henriques dos Santos,Joaquim César da Fonseca Brios,,Clube dos Galitos,Aveiro,Aveiro,,secretaria.geral@galitos.pt,www.galitos.pt
100594,07-05-1973,Defesa de Espinho,Papel/Online,Regional,Informação Geral,Semanal,Registo Definitivo,"Av. 8, 456 - 1º Ljs. R-G-H, Centro Comercial Solverde",4500-205,Espinho,Espinho,Aveiro,"Empes - Empresa de Publicidade de Espinho, Lda",Nuno Henrique Oliveira e Silva,,,"Empes-Empresa Publicidade de Espinho, Lda.",Espinho,Aveiro,,administracao@defesadeespinho.pt,https://www.defesadeespinho.pt/
100619,06-02-1974,Vida Ribatejana,Papel,Regional,Informação Geral,Trimestral,Registo Definitivo,"Centro Comercial da Mina, Loja 3",2600-125,Vila Franca de Xira,Vila Franca de Xira,Lisboa,"Voz Ribatejana, Lda.",Jorge Humberto Perdigoto Talixa,,,Jorge Humberto Perdigoto Talixa,Arruda dos Vinhos,Lisboa,,vidaribatejana@gmail.com,
100648,30-08-1972,O Verdadeiro Almanaque Borda d'Água,Papel,Nacional,Informação Especializada,Anual,Registo Definitivo,"R. Luz Soriano, 31/33",1200-246,Lisboa,Lisboa,Lisboa,"Editorial Minerva Manuel Rodrigues Sucessores, Lda.",Maria Narcisa Fernandes,,,"Editorial Minerva Manuel Rodrigues Sucessores, Lda",Lisboa,Lisboa,,m.fernandes.gerencia@sapo.pt,
100668,31-08-1972,Além-Mar,Papel/Online,Nacional,Doutrinária,Mensal,Registo Definitivo,"Calçada Eng. Miguel Pais, 9",1249-120,Lisboa,Lisboa,Lisboa,Missionários Combonianos do Coração de Jesus,Bernardino Dias Frutuoso,,,Missionários Combonianos do Coração de Jesus,Lisboa,Lisboa,,alem-mar@netcabo.pt,https://www.alem-mar.org
100669,16-04-1975,Audácia,Papel/Online,Nacional,Informação Geral,Mensal,Registo Definitivo,"Calçada Eng. Miguel Pais, 9",1249-120,Lisboa,Lisboa,Lisboa,Editorial Além Mar,Bernardino Dias Frutuoso,,,Missionários Combonianos do Coração de Jesus,Lisboa,Lisboa,,audacia@netcabo.pt,www.audacia.org
100706,31-08-1972,Record,Papel/Online,Nacional,Informação Especializada,Diária,Registo Definitivo,"R. Luciana Stegagno Picchio, 3",1549-023,Lisboa,Lisboa,Lisboa,"Medialivre, S.A.",Bernardo Machado Ribeiro,Sérgio Edgar Krithinas de Freitas,Vítor Manuel da Silva Pinto,"Medialivre, S.A.",Lisboa,Lisboa,,plataforma@medialivre.pt,www.record.pt
100783,23-04-1974,Jornal de Abrantes,Papel/Online,Regional,Informação Geral,Mensal,Registo Definitivo,"Rua General Humberto Delgado - Edifício Mira Rio, Cave - S. Vicente",2200-117,Abrantes,Abrantes,Santarém,"Media On - Comunicação Social, Lda.",Patrícia Susana Lucas Seixas Carlos,,,"Media On - Comunicação Social, Lda.",Abrantes,Santarém,,geral@mediaon.com.pt,
100788,24-06-1974,Voz de Mira de Aire,Papel,Regional,Doutrinária,Mensal,Registo Definitivo,"R. 10 de Junho, 248 - Cartório Paroquial",2485-166,Mira de Aire,Porto de Mós,Leiria,Fábrica da Igreja Paroquial de Mira de Aire,Davide Vieira Gonçalves,,,Fábrica da Igreja Paroquial de Mira de Aire,Porto de Mós,Leiria,,vozmiradeaire@gmail.com,
100805,23-04-1974,Badaladas,Papel/Online,Regional,Informação Geral,Semanal,Registo Definitivo,"R. António Augusto Cabral, 16",2560-307,Torres Vedras,Torres Vedras,Lisboa,"Badaladas, Lda.",Ana Lúcia Martins Alcântara,,,"Badaladas, Lda.",Torres Vedras,Lisboa,,info@badaladas.pt,www.badaladas.pt
100807,31-08-1972,O Informador Fiscal,Online,Nacional,Informação Especializada,Semanal,Registo Definitivo,"R. Domingos Sequeira, 178",4050-230,Porto,Porto,Porto,"O Informador Fiscal (OIF) - Edições Técnicas, Lda.",Rui Araújo Correia,,,"O Informador Fiscal (OIF) - Edições Técnicas, Lda.",Porto,Porto,,geral@informador.pt,https://informador.pt/
100812,25-03-1975,Diário de Lisboa,Papel,Regional,Informação Geral,Anual,Registo Definitivo,"R. de Santo António à Estrela, 84",1350-291,Lisboa,Lisboa,Lisboa,"Renascença Gráfica, Lda.",Rosa Ruela Ramos de Assis Pacheco,,,"Renascença Gráfica, Lda.",Lisboa,Lisboa,,carmoruellaramos@gmail.com,
100874,16-05-1975,Jornal da Beira,Papel/Online,Regional,Informação Geral,Semanal,Registo Definitivo,"R. Nunes de Carvalho, 28",3504-502,Viseu,Viseu,Viseu,Fundação Jornal da Beira,Jorge Alberto da Silva Seixas,,,Fundação Jornal da Beira,Viseu,Viseu,,geral@jornaldabeira.net,www.jornaldabeira.web.pt
100876,18-05-1974,Noticias de Gouveia,Papel/Online,Regional,Informação Geral,Trimensal,Registo Definitivo,R. Dr. Antonio Mendes,6290-321,Gouveia,Gouveia,Guarda,Associação de Beneficiência Popular de Gouveia,Liliana Assunção de Paulo Carona,,,Associação de Beneficiência Popular de Gouveia,Gouveia,Guarda,,noticiasdegouveia@abpg.pt,https://www.noticiasdegouveia.pt
